290,1.1,शीतम्,शीत{पुं;1;एक},చల్లని నీరు,
291,2.1,मदात्यय-,मदात्यय,మదాత్యయము,
292,2.2,ग्लानि-,ग्लानि,"బడలిక,అలసట",
293,2.3,मूर्च्छा-,मूर्च्छा,మూర్ఛ,
294,2.4,छर्दि-,छर्दि,వాంతి,
295,2.5,श्रम-,श्रम,శ్రమ,
296,2.6,भ्रमान्,भ्रम{पुं;2;बहु(भ्रम्1;घञ्;भ्वादिः)},భ్రమ/కళ్ళు తిరగడం,भ्रम
297,3.1,तृष्णा-,तृष्णा,దాహము,
298,3.2,उष्ण-,उष्ण,ఉష్ణ వీర్యము,
299,3.3,दाह-,दाह,మంట,
300,3.4,पित्त-,पित्त,పిత్తము,
301,3.5,अस्र-,अस्र,రక్త,
302,3.6,विषाणि,विष{नपुं;2;बहु},విషములను,
303,4.1,अम्बु,अम्बु{नपुं;1;एक},"జలం, నీరు",
304,5.1,(च),च{अव्य},మరియు,
305,6.1,नियच्छति,नि-यम्{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},,
306,7.1,.,-,,
307,1.1,दीपनम्,दीपन{नपुं;1;एक(दीप्1;ल्युट्;दिवादिः)},అగ్ని ని పెంచును,
308,10.1,(तेन),तद्{सर्व;पुं;3;एक},,
309,11.1,हिध्मा-,हिध्मा,హిధ్మ/వెక్కిళ్ళు,
310,11.2,आध्मान-,आध्मान,ఆధ్మానము,
311,11.3,अनिल-,अनिल,వాత రోగములు,
312,11.4,श्लेष्म-,श्लेष्मन्,కఫ రోగములు,
313,11.5,सद्यः-,सद्यः,"శీఘ్రముగ, తత్ క్షణమే",
314,11.6,शुद्धि-,शुद्धि,శుద్ధి చేయును,
315,11.7,नव-,नव,నూతనముగ జనించిన,
316,11.8,ज्वरे,ज्वर{पुं;7;एक},జ్వరములో,
317,12.1,कास-,कास,దగ్గు,
318,12.2,आम-,आम,ఆమము,
319,12.3,पीनस-,पीनस,జలుబు,
320,12.4,श्वास-,श्वास,ఆయాసము,
321,12.5,पार्श्व-,पार्श्व,పార్శ్వములో,
322,12.6,रुक्षु,रुच्{स्त्री;7;बहु},నొప్పి,
323,13.1,च,च{अव्य},మరియు,
324,14.1,शस्यते,शस्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः},హరించును,
325,15.1,.,-,,
326,2.1,पाचनम्,पाचन{नपुं;1;एक},పాచనము,
327,3.1,कण्ठ्यम्,कण्ठ्य{नपुं;1;एक},కంఠ్యము(స్వరమునకు మంచిది),
328,4.1,लघु,लघु{नपुं;1;एक},,
329,5.1,उष्णम्,उष्ण{नपुं;1;एक},ఉష్ణ వీర్యము,
330,6.1,(अम्बु),अम्बु{नपुं;1;एक},"నీరు,జలం",
331,7.1,बस्ति-,बस्ति,వస్తి,
332,7.2,शोधनम्,शोधन{नपुं;1;एक(शुध्1;ल्युट्;दिवादिः)},శుద్ధి కరము,
333,8.1,(च),च{अव्य},మరియు,
334,9.1,(भवति),भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः},ఔతుంది,
335,1.1,अन्-,अन्,అన్,
336,1.2,अभिष्यन्दि,अभिष्यन्दिन्{नपुं;1;एक},అభిష్యంధి(శరీరములో క్లేదమును జనింపచేయును),
337,10.1,(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},ఔతుంది,
338,11.1,व्युषितम्,वि-उषित{नपुं;1;एक(वि-वस्1;क्त)},పాచి నీరు,
339,12.1,तत्,तद्{सर्व;नपुं;1;एक},ఆ,
340,13.1,त्रि-,त्रि,మూడు,
341,13.2,दोष-,दोष,దోషములను,
